Format,Amount spent (CAD)_sum,Amount spent (CAD)_mean,Impressions_sum,Impressions_mean,Reach_sum,Reach_mean,Link clicks_sum,Link clicks_mean,CTR (link click-through rate)_mean,"CPM (cost per 1,000 impressions) (CAD)_mean",CPC (cost per link click) (CAD)_mean,CTR_Calculated
Image,213368.76,204.18,13791029,13197.16,7001076,6699.59,59014.0,56.47,0.24,9.19,1.62,0.43
Video,17332.73,121.21,848968,5936.84,480964,3363.38,3933.0,27.5,0.11,3.73,0.61,0.46
